# league	bet_key	matches	ht_matches	avg_ft_goals	avg_ht_goals	goals_0	goals_1	goals_2	goals_3	goals_4_plus	rate_o05_ft	rate_o15_ft	rate_o25_ft	rate_o35_ft	rate_exact_2	rate_exact_3	home_scored_rate	away_scored_rate	btts_rate	home_win_rate	draw_rate	away_win_rate	rate_ht05	rate_ht15	rate_ht_home_lead	rate_ht_draw	rate_ht_away_lead	rate_ht1x_home	goals_score
laliga2	TEAM1_WIN_FT	109	109	2.642202	1.275229	7	20	26	30	26	0.935780	0.752294	0.513761	0.238532	0.238532	0.275229	0.807339	0.697248	0.568807	0.486239	0.229358	0.284404	0.706422	0.357798	0.348624	0.431193	0.220183	0.779817	0.571560
liga profesional argentina	HT05	114	114	1.736842	0.815789	26	28	28	20	12	0.771930	0.526316	0.280702	0.105263	0.245614	0.175439	0.640351	0.535088	0.403509	0.350877	0.421053	0.228070	0.561404	0.219298	0.254386	0.508772	0.236842	0.763158	0.568860
uefa europa league	TEAM1_WIN_FT	60	60	2.500000	1.233333	1	20	14	10	15	0.983333	0.650000	0.416667	0.250000	0.233333	0.166667	0.766667	0.700000	0.483333	0.483333	0.216667	0.300000	0.716667	0.333333	0.300000	0.350000	0.350000	0.650000	0.564167
primera división paraguay	O15_FT	45	45	1.977778	0.800000	6	15	13	4	7	0.866667	0.533333	0.244444	0.155556	0.288889	0.088889	0.488889	0.666667	0.288889	0.311111	0.288889	0.400000	0.466667	0.222222	0.155556	0.644444	0.200000	0.800000	0.562986
superligaen	HT1X_HOME	47	47	2.765957	1.212766	2	9	9	12	15	0.957447	0.765957	0.574468	0.319149	0.191489	0.255319	0.765957	0.851064	0.659574	0.319149	0.297872	0.382979	0.659574	0.361702	0.170213	0.446809	0.382979	0.617021	0.559574
eredivisie	TEAM1_WIN_FT	83	83	3.096386	1.469880	4	8	18	20	33	0.951807	0.855422	0.638554	0.397590	0.216867	0.240964	0.879518	0.771084	0.698795	0.409639	0.301205	0.289157	0.734940	0.469880	0.373494	0.385542	0.240964	0.759036	0.554217
saudi arabia	TEAM1_WIN_FT	131	131	2.969466	1.221374	5	23	30	23	50	0.961832	0.786260	0.557252	0.381679	0.229008	0.175573	0.793893	0.709924	0.541985	0.473282	0.221374	0.305344	0.717557	0.335878	0.297710	0.412214	0.290076	0.709924	0.553053
belgian cup	TEAM1_SCORE_FT	8	8	2.250000	1.500000	1	2	2	1	2	0.875000	0.625000	0.375000	0.250000	0.250000	0.125000	0.500000	0.625000	0.250000	0.500000	0.125000	0.375000	0.875000	0.625000	0.250000	0.375000	0.375000	0.625000	0.546094
super league switzerland	TEAM1_WIN_FT	61	61	3.344262	1.360656	3	4	13	20	21	0.950820	0.885246	0.672131	0.344262	0.213115	0.327869	0.918033	0.803279	0.770492	0.409836	0.295082	0.295082	0.754098	0.377049	0.360656	0.377049	0.262295	0.737705	0.545902
liga mx	TEAM1_WIN_FT	84	84	2.773810	1.321429	6	13	14	27	24	0.928571	0.773810	0.607143	0.285714	0.166667	0.321429	0.797619	0.714286	0.583333	0.452381	0.178571	0.369048	0.726190	0.380952	0.416667	0.357143	0.226190	0.773810	0.545833
dfb pokal	TEAM2_SCORE_FT	4	4	2.500000	0.250000	0	0	2	2	0	1.000000	1.000000	0.500000	0.000000	0.500000	0.500000	0.750000	0.500000	0.250000	0.500000	0.250000	0.250000	0.250000	0.000000	0.250000	0.750000	0.000000	1.000000	0.542188
cup	TEAM1_SCORE_FT	4	4	1.750000	0.750000	2	0	0	1	1	0.500000	0.500000	0.500000	0.250000	0.000000	0.250000	0.500000	0.250000	0.250000	0.250000	0.750000	0.000000	0.500000	0.250000	0.250000	0.500000	0.250000	0.750000	0.538281
league cup	TEAM1_WIN_FT	4	4	3.000000	1.000000	0	1	1	0	2	1.000000	0.750000	0.500000	0.500000	0.250000	0.000000	0.750000	0.750000	0.500000	0.500000	0.000000	0.500000	0.500000	0.250000	0.250000	0.500000	0.250000	0.750000	0.537500
league cup	TEAM2_WIN_FT	4	4	3.000000	1.000000	0	1	1	0	2	1.000000	0.750000	0.500000	0.500000	0.250000	0.000000	0.750000	0.750000	0.500000	0.500000	0.000000	0.500000	0.500000	0.250000	0.250000	0.500000	0.250000	0.750000	0.537500
liga profesional argentina	O15_FT	114	114	1.736842	0.815789	26	28	28	20	12	0.771930	0.526316	0.280702	0.105263	0.245614	0.175439	0.640351	0.535088	0.403509	0.350877	0.421053	0.228070	0.561404	0.219298	0.254386	0.508772	0.236842	0.763158	0.532072
serie b	TEAM1_WIN_FT	116	116	2.637931	1.198276	9	18	26	32	31	0.922414	0.767241	0.543103	0.267241	0.224138	0.275862	0.793103	0.672414	0.543103	0.422414	0.293103	0.284483	0.750000	0.370690	0.318966	0.413793	0.267241	0.732759	0.530603
czech first league	TEAM1_WIN_FT	52	52	2.288462	0.980769	8	9	13	11	11	0.846154	0.673077	0.423077	0.211538	0.250000	0.211538	0.692308	0.480769	0.326923	0.442308	0.250000	0.307692	0.634615	0.269231	0.269231	0.423077	0.307692	0.692308	0.529808
serie a brazil	TEAM1_WIN_FT	45	45	2.355556	1.133333	4	13	10	9	9	0.911111	0.622222	0.400000	0.200000	0.222222	0.200000	0.688889	0.644444	0.422222	0.444444	0.266667	0.288889	0.733333	0.333333	0.266667	0.488889	0.244444	0.755556	0.528889
taça da liga	TEAM1_WIN_FT	2	2	3.500000	1.500000	0	0	0	1	1	1.000000	1.000000	1.000000	0.500000	0.000000	0.500000	1.000000	1.000000	1.000000	0.500000	0.000000	0.500000	1.000000	0.500000	0.000000	0.000000	1.000000	0.000000	0.525000
serie a italia	TEAM1_WIN_FT	109	109	2.651376	1.073394	7	19	25	29	29	0.935780	0.761468	0.532110	0.266055	0.229358	0.266055	0.761468	0.678899	0.504587	0.422018	0.256881	0.321101	0.688073	0.293578	0.311927	0.412844	0.275229	0.724771	0.524771
2. bundesliga	TEAM1_WIN_FT	75	75	2.973333	1.373333	5	8	18	19	25	0.933333	0.826667	0.586667	0.333333	0.240000	0.253333	0.853333	0.773333	0.693333	0.400000	0.320000	0.280000	0.720000	0.346667	0.346667	0.373333	0.280000	0.720000	0.523333
liga portugal 2	TEAM1_WIN_FT	86	86	2.406977	0.906977	9	24	12	21	20	0.895349	0.616279	0.476744	0.232558	0.139535	0.244186	0.720930	0.651163	0.476744	0.441860	0.244186	0.313953	0.581395	0.244186	0.302326	0.523256	0.174419	0.825581	0.520930
liga pro ecuador	TEAM1_WIN_FT	27	27	1.925926	0.851852	2	7	11	5	2	0.925926	0.666667	0.259259	0.074074	0.407407	0.185185	0.777778	0.666667	0.518519	0.407407	0.407407	0.185185	0.555556	0.222222	0.259259	0.555556	0.185185	0.814815	0.520370
czech first league	TEAM2_SCORE_FT	52	52	2.288462	0.980769	8	9	13	11	11	0.846154	0.673077	0.423077	0.211538	0.250000	0.211538	0.692308	0.480769	0.326923	0.442308	0.250000	0.307692	0.634615	0.269231	0.269231	0.423077	0.307692	0.692308	0.518329
fa cup	TEAM1_WIN_FT	56	56	3.535714	1.339286	1	11	6	11	27	0.982143	0.785714	0.678571	0.482143	0.107143	0.196429	0.803571	0.821429	0.642857	0.410714	0.142857	0.446429	0.785714	0.339286	0.482143	0.250000	0.267857	0.732143	0.517857
ligue 1	TEAM1_WIN_FT	81	81	2.592593	1.172840	7	16	21	12	25	0.913580	0.716049	0.456790	0.308642	0.259259	0.148148	0.716049	0.629630	0.432099	0.444444	0.234568	0.320988	0.716049	0.283951	0.370370	0.358025	0.271605	0.728395	0.516667
cup	O15_FT	4	4	1.750000	0.750000	2	0	0	1	1	0.500000	0.500000	0.500000	0.250000	0.000000	0.250000	0.500000	0.250000	0.250000	0.250000	0.750000	0.000000	0.500000	0.250000	0.250000	0.500000	0.250000	0.750000	0.516406
superligaen	TEAM2_WIN_FT	47	47	2.765957	1.212766	2	9	9	12	15	0.957447	0.765957	0.574468	0.319149	0.191489	0.255319	0.765957	0.851064	0.659574	0.319149	0.297872	0.382979	0.659574	0.361702	0.170213	0.446809	0.382979	0.617021	0.513830
cup	HT05	4	4	1.750000	0.750000	2	0	0	1	1	0.500000	0.500000	0.500000	0.250000	0.000000	0.250000	0.500000	0.250000	0.250000	0.250000	0.750000	0.000000	0.500000	0.250000	0.250000	0.500000	0.250000	0.750000	0.512500
super lig	TEAM1_WIN_FT	71	71	2.619718	1.126761	8	9	13	20	21	0.887324	0.760563	0.577465	0.295775	0.183099	0.281690	0.760563	0.704225	0.577465	0.408451	0.309859	0.281690	0.661972	0.352113	0.309859	0.492958	0.197183	0.802817	0.511268
coupe de france	HT1X_HOME	28	28	3.178571	1.250000	3	2	6	5	12	0.892857	0.821429	0.607143	0.428571	0.214286	0.178571	0.642857	0.714286	0.464286	0.285714	0.250000	0.464286	0.714286	0.321429	0.178571	0.392857	0.428571	0.571429	0.508036
primera división paraguay	HT05	45	45	1.977778	0.800000	6	15	13	4	7	0.866667	0.533333	0.244444	0.155556	0.288889	0.088889	0.488889	0.666667	0.288889	0.311111	0.288889	0.400000	0.466667	0.222222	0.155556	0.644444	0.200000	0.800000	0.503333
primera división paraguay	TEAM1_SCORE_FT	45	45	1.977778	0.800000	6	15	13	4	7	0.866667	0.533333	0.244444	0.155556	0.288889	0.088889	0.488889	0.666667	0.288889	0.311111	0.288889	0.400000	0.466667	0.222222	0.155556	0.644444	0.200000	0.800000	0.502708
belgian cup	TEAM1_WIN_FT	8	8	2.250000	1.500000	1	2	2	1	2	0.875000	0.625000	0.375000	0.250000	0.250000	0.125000	0.500000	0.625000	0.250000	0.500000	0.125000	0.375000	0.875000	0.625000	0.250000	0.375000	0.375000	0.625000	0.500000
pro league	TEAM2_WIN_FT	64	64	2.750000	1.265625	6	8	16	16	18	0.906250	0.781250	0.531250	0.281250	0.250000	0.250000	0.687500	0.734375	0.515625	0.375000	0.218750	0.406250	0.718750	0.375000	0.296875	0.390625	0.312500	0.687500	0.499219
liga profesional argentina	TEAM2_SCORE_FT	114	114	1.736842	0.815789	26	28	28	20	12	0.771930	0.526316	0.280702	0.105263	0.245614	0.175439	0.640351	0.535088	0.403509	0.350877	0.421053	0.228070	0.561404	0.219298	0.254386	0.508772	0.236842	0.763158	0.498958
fa cup	TEAM2_WIN_FT	56	56	3.535714	1.339286	1	11	6	11	27	0.982143	0.785714	0.678571	0.482143	0.107143	0.196429	0.803571	0.821429	0.642857	0.410714	0.142857	0.446429	0.785714	0.339286	0.482143	0.250000	0.267857	0.732143	0.497321
championship	TEAM1_WIN_FT	163	163	2.564417	1.128834	9	25	49	44	36	0.944785	0.791411	0.490798	0.220859	0.300613	0.269939	0.754601	0.693252	0.503067	0.398773	0.220859	0.380368	0.674847	0.361963	0.312883	0.435583	0.251534	0.748466	0.493558
primera división paraguay	TEAM2_WIN_FT	45	45	1.977778	0.800000	6	15	13	4	7	0.866667	0.533333	0.244444	0.155556	0.288889	0.088889	0.488889	0.666667	0.288889	0.311111	0.288889	0.400000	0.466667	0.222222	0.155556	0.644444	0.200000	0.800000	0.481111
ligue 2	TEAM1_WIN_FT	87	87	2.275862	0.977011	14	18	17	22	16	0.839080	0.632184	0.436782	0.183908	0.195402	0.252874	0.655172	0.643678	0.459770	0.390805	0.321839	0.287356	0.597701	0.252874	0.298851	0.505747	0.195402	0.804598	0.467816
cymru premier league	TEAM2_WIN_FT	44	44	2.613636	1.068182	4	8	12	7	13	0.909091	0.727273	0.454545	0.295455	0.272727	0.159091	0.681818	0.727273	0.500000	0.340909	0.272727	0.386364	0.636364	0.250000	0.272727	0.431818	0.295455	0.704545	0.464773
premier league	TEAM1_WIN_FT	106	106	2.669811	1.226415	10	14	31	20	31	0.905660	0.773585	0.481132	0.292453	0.292453	0.188679	0.745283	0.745283	0.584906	0.349057	0.320755	0.330189	0.698113	0.330189	0.320755	0.386792	0.292453	0.707547	0.464151
liga profesional argentina	TEAM1_WIN_FT	114	114	1.736842	0.815789	26	28	28	20	12	0.771930	0.526316	0.280702	0.105263	0.245614	0.175439	0.640351	0.535088	0.403509	0.350877	0.421053	0.228070	0.561404	0.219298	0.254386	0.508772	0.236842	0.763158	0.458333
championship	TEAM2_WIN_FT	163	163	2.564417	1.128834	9	25	49	44	36	0.944785	0.791411	0.490798	0.220859	0.300613	0.269939	0.754601	0.693252	0.503067	0.398773	0.220859	0.380368	0.674847	0.361963	0.312883	0.435583	0.251534	0.748466	0.452147
belgian cup	TEAM2_WIN_FT	8	8	2.250000	1.500000	1	2	2	1	2	0.875000	0.625000	0.375000	0.250000	0.250000	0.125000	0.500000	0.625000	0.250000	0.500000	0.125000	0.375000	0.875000	0.625000	0.250000	0.375000	0.375000	0.625000	0.450000
cymru premier league	TEAM1_WIN_FT	44	44	2.613636	1.068182	4	8	12	7	13	0.909091	0.727273	0.454545	0.295455	0.272727	0.159091	0.681818	0.727273	0.500000	0.340909	0.272727	0.386364	0.636364	0.250000	0.272727	0.431818	0.295455	0.704545	0.446591
pro league	TEAM1_WIN_FT	64	64	2.750000	1.265625	6	8	16	16	18	0.906250	0.781250	0.531250	0.281250	0.250000	0.250000	0.687500	0.734375	0.515625	0.375000	0.218750	0.406250	0.718750	0.375000	0.296875	0.390625	0.312500	0.687500	0.443750
copa del rey	TEAM1_WIN_FT	16	16	3.187500	1.625000	0	3	3	4	6	1.000000	0.812500	0.625000	0.375000	0.187500	0.250000	0.687500	0.750000	0.437500	0.375000	0.062500	0.562500	0.625000	0.500000	0.187500	0.562500	0.250000	0.750000	0.440625
cup	TEAM1_WIN_FT	4	4	1.750000	0.750000	2	0	0	1	1	0.500000	0.500000	0.500000	0.250000	0.000000	0.250000	0.500000	0.250000	0.250000	0.250000	0.750000	0.000000	0.500000	0.250000	0.250000	0.500000	0.250000	0.750000	0.437500
premier league	TEAM2_WIN_FT	106	106	2.669811	1.226415	10	14	31	20	31	0.905660	0.773585	0.481132	0.292453	0.292453	0.188679	0.745283	0.745283	0.584906	0.349057	0.320755	0.330189	0.698113	0.330189	0.320755	0.386792	0.292453	0.707547	0.433019
liga mx	TEAM2_WIN_FT	84	84	2.773810	1.321429	6	13	14	27	24	0.928571	0.773810	0.607143	0.285714	0.166667	0.321429	0.797619	0.714286	0.583333	0.452381	0.178571	0.369048	0.726190	0.380952	0.416667	0.357143	0.226190	0.773810	0.432738
superligaen	TEAM1_WIN_FT	47	47	2.765957	1.212766	2	9	9	12	15	0.957447	0.765957	0.574468	0.319149	0.191489	0.255319	0.765957	0.851064	0.659574	0.319149	0.297872	0.382979	0.659574	0.361702	0.170213	0.446809	0.382979	0.617021	0.414894
ligue 1	TEAM2_WIN_FT	81	81	2.592593	1.172840	7	16	21	12	25	0.913580	0.716049	0.456790	0.308642	0.259259	0.148148	0.716049	0.629630	0.432099	0.444444	0.234568	0.320988	0.716049	0.283951	0.370370	0.358025	0.271605	0.728395	0.406173
saudi arabia	TEAM2_WIN_FT	131	131	2.969466	1.221374	5	23	30	23	50	0.961832	0.786260	0.557252	0.381679	0.229008	0.175573	0.793893	0.709924	0.541985	0.473282	0.221374	0.305344	0.717557	0.335878	0.297710	0.412214	0.290076	0.709924	0.400763
liga portugal 2	TEAM2_WIN_FT	86	86	2.406977	0.906977	9	24	12	21	20	0.895349	0.616279	0.476744	0.232558	0.139535	0.244186	0.720930	0.651163	0.476744	0.441860	0.244186	0.313953	0.581395	0.244186	0.302326	0.523256	0.174419	0.825581	0.400581
serie a italia	TEAM2_WIN_FT	109	109	2.651376	1.073394	7	19	25	29	29	0.935780	0.761468	0.532110	0.266055	0.229358	0.266055	0.761468	0.678899	0.504587	0.422018	0.256881	0.321101	0.688073	0.293578	0.311927	0.412844	0.275229	0.724771	0.400000
ligue 2	TEAM2_WIN_FT	87	87	2.275862	0.977011	14	18	17	22	16	0.839080	0.632184	0.436782	0.183908	0.195402	0.252874	0.655172	0.643678	0.459770	0.390805	0.321839	0.287356	0.597701	0.252874	0.298851	0.505747	0.195402	0.804598	0.400000
super league switzerland	TEAM2_WIN_FT	61	61	3.344262	1.360656	3	4	13	20	21	0.950820	0.885246	0.672131	0.344262	0.213115	0.327869	0.918033	0.803279	0.770492	0.409836	0.295082	0.295082	0.754098	0.377049	0.360656	0.377049	0.262295	0.737705	0.400000
2. bundesliga	TEAM2_WIN_FT	75	75	2.973333	1.373333	5	8	18	19	25	0.933333	0.826667	0.586667	0.333333	0.240000	0.253333	0.853333	0.773333	0.693333	0.400000	0.320000	0.280000	0.720000	0.346667	0.346667	0.373333	0.280000	0.720000	0.394667
super lig	TEAM2_WIN_FT	71	71	2.619718	1.126761	8	9	13	20	21	0.887324	0.760563	0.577465	0.295775	0.183099	0.281690	0.760563	0.704225	0.577465	0.408451	0.309859	0.281690	0.661972	0.352113	0.309859	0.492958	0.197183	0.802817	0.388028
schweizer cup	TEAM2_WIN_FT	4	4	4.000000	1.500000	0	0	0	3	1	1.000000	1.000000	1.000000	0.250000	0.000000	0.750000	1.000000	1.000000	1.000000	0.750000	0.000000	0.250000	1.000000	0.500000	0.500000	0.250000	0.250000	0.750000	0.387500
uefa europa league	TEAM2_WIN_FT	60	60	2.500000	1.233333	1	20	14	10	15	0.983333	0.650000	0.416667	0.250000	0.233333	0.166667	0.766667	0.700000	0.483333	0.483333	0.216667	0.300000	0.716667	0.333333	0.300000	0.350000	0.350000	0.650000	0.386667
primera división paraguay	TEAM1_WIN_FT	45	45	1.977778	0.800000	6	15	13	4	7	0.866667	0.533333	0.244444	0.155556	0.288889	0.088889	0.488889	0.666667	0.288889	0.311111	0.288889	0.400000	0.466667	0.222222	0.155556	0.644444	0.200000	0.800000	0.383333
serie b	TEAM2_WIN_FT	116	116	2.637931	1.198276	9	18	26	32	31	0.922414	0.767241	0.543103	0.267241	0.224138	0.275862	0.793103	0.672414	0.543103	0.422414	0.293103	0.284483	0.750000	0.370690	0.318966	0.413793	0.267241	0.732759	0.378017
laliga2	TEAM2_WIN_FT	109	109	2.642202	1.275229	7	20	26	30	26	0.935780	0.752294	0.513761	0.238532	0.238532	0.275229	0.807339	0.697248	0.568807	0.486239	0.229358	0.284404	0.706422	0.357798	0.348624	0.431193	0.220183	0.779817	0.377982
eredivisie	TEAM2_WIN_FT	83	83	3.096386	1.469880	4	8	18	20	33	0.951807	0.855422	0.638554	0.397590	0.216867	0.240964	0.879518	0.771084	0.698795	0.409639	0.301205	0.289157	0.734940	0.469880	0.373494	0.385542	0.240964	0.759036	0.377711
serie a brazil	TEAM2_WIN_FT	45	45	2.355556	1.133333	4	13	10	9	9	0.911111	0.622222	0.400000	0.200000	0.222222	0.200000	0.688889	0.644444	0.422222	0.444444	0.266667	0.288889	0.733333	0.333333	0.266667	0.488889	0.244444	0.755556	0.374444
uefa champions league	TEAM2_WIN_FT	60	60	3.633333	1.650000	2	4	14	13	27	0.966667	0.900000	0.666667	0.450000	0.233333	0.216667	0.883333	0.716667	0.633333	0.533333	0.150000	0.316667	0.716667	0.600000	0.383333	0.450000	0.166667	0.833333	0.368333
laliga	TEAM2_WIN_FT	99	99	2.848485	1.090909	3	13	28	27	28	0.969697	0.838384	0.555556	0.282828	0.282828	0.272727	0.818182	0.797980	0.646465	0.464646	0.272727	0.262626	0.686869	0.303030	0.373737	0.444444	0.181818	0.818182	0.365657
czech first league	TEAM2_WIN_FT	52	52	2.288462	0.980769	8	9	13	11	11	0.846154	0.673077	0.423077	0.211538	0.250000	0.211538	0.692308	0.480769	0.326923	0.442308	0.250000	0.307692	0.634615	0.269231	0.269231	0.423077	0.307692	0.692308	0.358654
bundesliga	TEAM2_WIN_FT	94	94	3.170213	1.351064	3	11	20	24	36	0.968085	0.851064	0.638298	0.382979	0.212766	0.255319	0.882979	0.723404	0.638298	0.478723	0.265957	0.255319	0.765957	0.382979	0.414894	0.393617	0.191489	0.808511	0.354255
premiership	TEAM2_WIN_FT	61	61	2.868852	1.278689	4	11	16	9	21	0.934426	0.754098	0.491803	0.344262	0.262295	0.147541	0.803279	0.639344	0.508197	0.475410	0.262295	0.262295	0.754098	0.344262	0.426230	0.360656	0.213115	0.786885	0.339344
liga profesional argentina	TEAM2_WIN_FT	114	114	1.736842	0.815789	26	28	28	20	12	0.771930	0.526316	0.280702	0.105263	0.245614	0.175439	0.640351	0.535088	0.403509	0.350877	0.421053	0.228070	0.561404	0.219298	0.254386	0.508772	0.236842	0.763158	0.336404
liga pro ecuador	TEAM2_WIN_FT	27	27	1.925926	0.851852	2	7	11	5	2	0.925926	0.666667	0.259259	0.074074	0.407407	0.185185	0.777778	0.666667	0.518519	0.407407	0.407407	0.185185	0.555556	0.222222	0.259259	0.555556	0.185185	0.814815	0.322222
coupe de france	TEAM1_WIN_FT	28	28	3.178571	1.250000	3	2	6	5	12	0.892857	0.821429	0.607143	0.428571	0.214286	0.178571	0.642857	0.714286	0.464286	0.285714	0.250000	0.464286	0.714286	0.321429	0.178571	0.392857	0.428571	0.571429	0.321429
liga portugal	TEAM2_WIN_FT	82	82	2.817073	1.195122	6	12	13	26	25	0.926829	0.780488	0.621951	0.304878	0.158537	0.317073	0.804878	0.658537	0.536585	0.487805	0.280488	0.231707	0.670732	0.329268	0.304878	0.439024	0.256098	0.743902	0.316463
dfb pokal	TEAM2_WIN_FT	4	4	2.500000	0.250000	0	0	2	2	0	1.000000	1.000000	0.500000	0.000000	0.500000	0.500000	0.750000	0.500000	0.250000	0.500000	0.250000	0.250000	0.250000	0.000000	0.250000	0.750000	0.000000	1.000000	0.312500
mls	TEAM2_WIN_FT	50	50	2.700000	1.300000	3	11	9	12	15	0.940000	0.720000	0.540000	0.300000	0.180000	0.240000	0.800000	0.580000	0.440000	0.580000	0.160000	0.260000	0.700000	0.360000	0.460000	0.360000	0.180000	0.820000	0.298000
cup	TEAM2_SCORE_FT	4	4	1.750000	0.750000	2	0	0	1	1	0.500000	0.500000	0.500000	0.250000	0.000000	0.250000	0.500000	0.250000	0.250000	0.250000	0.750000	0.000000	0.500000	0.250000	0.250000	0.500000	0.250000	0.750000	0.294531
primera a colombia	TEAM2_WIN_FT	76	76	2.552632	1.118421	12	8	18	21	17	0.842105	0.736842	0.500000	0.223684	0.236842	0.276316	0.763158	0.618421	0.539474	0.473684	0.355263	0.171053	0.631579	0.355263	0.342105	0.500000	0.157895	0.842105	0.276316
scottish cup	TEAM2_WIN_FT	26	26	2.884615	1.192308	2	2	8	7	7	0.923077	0.846154	0.538462	0.269231	0.307692	0.269231	0.884615	0.576923	0.538462	0.538462	0.269231	0.192308	0.653846	0.346154	0.423077	0.423077	0.153846	0.846154	0.238462
dfb pokal	HT05	4	4	2.500000	0.250000	0	0	2	2	0	1.000000	1.000000	0.500000	0.000000	0.500000	0.500000	0.750000	0.500000	0.250000	0.500000	0.250000	0.250000	0.250000	0.000000	0.250000	0.750000	0.000000	1.000000	0.225000
taça de portugal	TEAM2_WIN_FT	6	6	2.500000	1.000000	0	2	1	1	2	1.000000	0.666667	0.500000	0.333333	0.166667	0.166667	1.000000	0.666667	0.666667	0.666667	0.333333	0.000000	0.833333	0.166667	0.666667	0.333333	0.000000	1.000000	0.166667
taça da liga	HT1X_HOME	2	2	3.500000	1.500000	0	0	0	1	1	1.000000	1.000000	1.000000	0.500000	0.000000	0.500000	1.000000	1.000000	1.000000	0.500000	0.000000	0.500000	1.000000	0.500000	0.000000	0.000000	1.000000	0.000000	0.150000
cup	TEAM2_WIN_FT	4	4	1.750000	0.750000	2	0	0	1	1	0.500000	0.500000	0.500000	0.250000	0.000000	0.250000	0.500000	0.250000	0.250000	0.250000	0.750000	0.000000	0.500000	0.250000	0.250000	0.500000	0.250000	0.750000	0.112500
